Amp #,Total Readout,Total Readout Uncertainty,Mean Readout (Per Pixel),Standard Deviation (Per Pixel),Standard Error in the Pixel Mean,Variance (Per Pixel)
1,6422.0317,174.23326448717177,0.012249053,0.24062797,0.0003323235788100658,0.057901822
2,7874.912,158.5621679771859,0.015020203,0.21898513,0.0003024333343070715,0.047954485
3,8916.966,128.4052980890439,0.017007763,0.17733644,0.0002449136697560194,0.03144821
4,9394.395,121.56711285721275,0.017918386,0.16789244,0.00023187086650316763,0.028187871
5,8873.333,164.28039343290675,0.01692454,0.22688238,0.0003133399838121543,0.051475614
6,9202.01,150.65878015482983,0.01755144,0.20807001,0.0002873588183495137,0.04329313
7,9584.572,131.99736946344308,0.01828112,0.18229733,0.0002517650021809446,0.033232316
8,9774.321,170.14422444911517,0.018643038,0.23498073,0.00032452435388396296,0.055215944
9,12768.764,167.41357261811763,0.024354484,0.23120952,0.00031931604884742284,0.05345784
10,13814.776,178.4426192792111,0.026349595,0.24644138,0.00034035228591768475,0.06073335
11,12441.746,187.57632283711922,0.023730747,0.25905564,0.00035777344291137547,0.06710982
12,12736.659,172.75841341090907,0.02429325,0.2385911,0.0003295105236261541,0.056925714
13,11940.887,73.67124539155145,0.022775434,0.101744995,0.00014051674917516985,0.010352044
14,11769.594,163.33782535890657,0.022448719,0.22558063,0.00031154217788487734,0.050886624
15,11577.188,140.68231226019535,0.022081735,0.19429183,0.0002683302159503848,0.037749317
16,11440.165,92.43209297404256,0.021820383,0.127655,0.00017630022616203797,0.016295798
17,14321.445,120.7085741352005,0.02731599,0.16670674,0.00023023333384552096,0.027791137
18,13158.67,130.34867646123925,0.025098171,0.18002038,0.0002486203698372636,0.032407336
19,12581.452,74.4110877985638,0.023997216,0.10276677,0.00014192788657868156,0.010561008
20,10152.723,289.8888994845219,0.019364782,0.40035626,0.0005529191960993231,0.16028513
21,10464.716,70.16218914737762,0.019959861,0.09689875,0.00013382375554538272,0.009389368
22,9602.858,86.96467700748907,0.018315999,0.12010413,0.00016587195779321494,0.014425001
23,9521.044,113.28879746009699,0.01815995,0.15645953,0.0002160812329484882,0.024479583
24,10711.767,532.8664171470377,0.020431073,0.7359247,0.0010163620322170977,0.5415852
25,11104.584,134.578024369513,0.021180313,0.1858614,0.00025668721078779793,0.034544457
26,10716.674,157.184703769316,0.020440433,0.21708275,0.0002998060298334427,0.047124922
27,7170.713,152.63400940620707,0.013677049,0.21079794,0.0002911262691616193,0.04443577
28,7734.9976,140.55188765736662,0.014753337,0.1941117,0.0002680814507624943,0.037679356
29,5517.4453,107.4741346201866,0.010523692,0.14842908,0.0002049906437305195,0.022031192
30,4322.3394,621.5341721013499,0.008244208,0.8583809,0.0011854823534037588,0.7368178
31,1709.7498,77.80982584687212,0.0032610889,0.107460655,0.00014841046494841025,0.011547793
32,130.84033,32.35913106263071,0.00024955813,0.04469016,6.172014439130918e-05,0.0019972103
